City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,Hambantota,6.1241,81.1185,73.4,100,75,3.44,LK,1/30/2021
314,Libenge,3.65,18.6333,73.15,57,47,1.48,CD,1/30/2021
315,Isangel,-19.55,169.2667,86,70,20,3.44,VU,1/30/2021
316,Taksimo,56.3444,114.8794,-8.72,79,96,3.09,RU,1/30/2021
317,Traralgon,-38.1833,146.5333,71.01,65,100,1.99,AU,1/30/2021
318,Saint-Joseph,-21.3667,55.6167,78.8,65,0,6.91,RE,1/30/2021
319,North Bend,43.4065,-124.2243,51.01,93,75,9.22,US,1/30/2021
320,Yichang,30.7144,111.2847,52,66,0,1.79,CN,1/30/2021
321,Pestyaki,56.7103,42.6717,-0.89,92,100,10.13,RU,1/30/2021
322,Pringsewu,-5.3582,104.9744,76.68,86,70,6.15,ID,1/30/2021
323,Iberia,29.9502,-91.7507,50,87,90,6.91,US,1/30/2021
324,Bambanglipuro,-7.95,110.2833,80.76,77,19,5.12,ID,1/30/2021
325,Alugan,12.2188,125.4808,80.98,82,3,10.78,PH,1/30/2021
326,Pisco,-13.7,-76.2167,71.6,83,0,10.36,PE,1/30/2021
327,Darnah,32.767,22.6367,59.18,61,88,3.2,LY,1/30/2021
328,Aykhal,66,111.5,-34.71,81,23,3.89,RU,1/30/2021
329,Los Llanos de Aridane,28.6585,-17.9182,62.6,51,0,17.27,ES,1/30/2021
330,Labuhan,-6.8844,112.2051,81.19,80,99,11.1,ID,1/30/2021
331,Severnyy,50.677,36.5532,14,85,75,11.18,RU,1/30/2021
332,Kloulklubed,7.0419,134.2556,77,94,90,14.16,PW,1/30/2021
333,Klaksvík,62.2266,-6.589,32,100,40,10.36,FO,1/30/2021
334,Nizwá,22.9333,57.5333,52.11,70,0,0.87,OM,1/30/2021
335,Manggar,-2.8833,108.2667,81.84,78,47,13.02,ID,1/30/2021
336,Balsas,-7.5325,-46.0356,75.97,87,100,4.25,BR,1/30/2021
